"Country","Industry","Number of employees","UpdatedOn"
"Anguilla","1","4292","2023-08-23 17:47:18"
"Australia","1","4155","2023-08-23 17:47:18"
"Bahamas","1","4914","2023-08-23 17:47:18"
"Belarus","1","3715","2023-08-23 17:47:18"
"Belgium","1","5038","2023-08-23 17:47:18"
"Benin","3","11611","2023-08-23 17:47:18"
"Bolivia","1","1312","2023-08-23 17:47:18"
"Botswana","1","7961","2023-08-23 17:47:18"
"Bouvet Island (Bouvetoya)","1","7473","2023-08-23 17:47:18"
"Brazil","1","9315","2023-08-23 17:47:18"
"Burundi","1","1927","2023-08-23 17:47:18"
"Cameroon","1","5571","2023-08-23 17:47:18"
"Canada","1","2073","2023-08-23 17:47:18"
"Cape Verde","1","1678","2023-08-23 17:47:18"
"Cayman Islands","1","1418","2023-08-23 17:47:18"
"Chad","1","365","2023-08-23 17:47:18"
"China","1","5287","2023-08-23 17:47:18"
"Christmas Island","1","1046","2023-08-23 17:47:18"
"Cocos (Keeling) Islands","1","2215","2023-08-23 17:47:18"
"Cote d'Ivoire","2","5275","2023-08-23 17:47:18"
"Cuba","1","7805","2023-08-23 17:47:18"
"Czech Republic","1","3122","2023-08-23 17:47:18"
"Denmark","1","9011","2023-08-23 17:47:18"
"Djibouti","1","4044","2023-08-23 17:47:18"
"El Salvador","1","8172","2023-08-23 17:47:18"
"Eritrea","2","15313","2023-08-23 17:47:18"
"Ethiopia","1","2988","2023-08-23 17:47:18"
"Falkland Islands (Malvinas)","2","3147","2023-08-23 17:47:18"
"Finland","1","4952","2023-08-23 17:47:18"
"French Southern Territories","1","3527","2023-08-23 17:47:18"
"Germany","1","9443","2023-08-23 17:47:18"
"Gibraltar","1","897","2023-08-23 17:47:18"
"Grenada","1","9067","2023-08-23 17:47:18"
"Guadeloupe","1","2185","2023-08-23 17:47:18"
"Guatemala","1","9995","2023-08-23 17:47:18"
"Guernsey","1","6146","2023-08-23 17:47:18"
"Heard Island and McDonald Islands","1","4389","2023-08-23 17:47:18"
"Honduras","1","8508","2023-08-23 17:47:18"
"Hong Kong","1","4589","2023-08-23 17:47:18"
"Jersey","1","3585","2023-08-23 17:47:18"
"Kenya","1","1638","2023-08-23 17:47:18"
"Korea","2","14429","2023-08-23 17:47:18"
"Kuwait","1","8167","2023-08-23 17:47:18"
"Kyrgyz Republic","2","2949","2023-08-23 17:47:18"
"Latvia","1","6182","2023-08-23 17:47:18"
"Liberia","1","2862","2023-08-23 17:47:18"
"Liechtenstein","1","8433","2023-08-23 17:47:18"
"Luxembourg","2","8944","2023-08-23 17:47:18"
"Mali","1","5786","2023-08-23 17:47:18"
"Marshall Islands","1","8245","2023-08-23 17:47:18"
"Mauritius","1","7870","2023-08-23 17:47:18"
"Mayotte","1","4942","2023-08-23 17:47:18"
"Micronesia","1","7013","2023-08-23 17:47:18"
"Monaco","1","8987","2023-08-23 17:47:18"
"Mongolia","1","7012","2023-08-23 17:47:18"
"Nepal","1","4516","2023-08-23 17:47:18"
"Netherlands Antilles","1","563","2023-08-23 17:47:18"
"Nigeria","1","7202","2023-08-23 17:47:18"
"Northern Mariana Islands","2","9117","2023-08-23 17:47:18"
"Pakistan","2","16312","2023-08-23 17:47:18"
"Palau","1","8741","2023-08-23 17:47:18"
"Papua New Guinea","1","3498","2023-08-23 17:47:18"
"Philippines","1","7664","2023-08-23 17:47:18"
"Reunion","1","2992","2023-08-23 17:47:18"
"Romania","1","4941","2023-08-23 17:47:18"
"South Africa","1","1215","2023-08-23 17:47:18"
"Suriname","1","5004","2023-08-23 17:47:18"
"Svalbard & Jan Mayen Islands","1","7529","2023-08-23 17:47:18"
"Sweden","3","11294","2023-08-23 17:47:18"
"Taiwan","2","8926","2023-08-23 17:47:18"
"Timor-Leste","1","346","2023-08-23 17:47:18"
"Togo","2","3654","2023-08-23 17:47:18"
"Tonga","1","9069","2023-08-23 17:47:18"
"Trinidad and Tobago","1","3816","2023-08-23 17:47:18"
"Turkey","1","6923","2023-08-23 17:47:18"
"Turkmenistan","1","921","2023-08-23 17:47:18"
"Uganda","1","6986","2023-08-23 17:47:18"
"United Arab Emirates","1","9079","2023-08-23 17:47:18"
"United States Virgin Islands","2","6770","2023-08-23 17:47:18"
"Uruguay","1","6874","2023-08-23 17:47:18"
"Uzbekistan","1","9698","2023-08-23 17:47:18"
"Vietnam","1","9097","2023-08-23 17:47:18"
"Western Sahara","1","1746","2023-08-23 17:47:18"
"Zimbabwe","2","11008","2023-08-23 17:47:18"
